ID;ID_On_Plate;Random_ID;Experimentor;Testing_Date;Plate;Weight_mg;Colour;Moisture;Lab_Comment
12042431;28;118;Liwei;20190227;4;104,9;;;
21090570;29;119;Liwei;20190227;4;95,9;;;
12041377;30;120;Liwei;20190227;4;123,3;;;
Ctrl_plt4;Control;Ctrl_plt4;Liwei;20190227;4;66,7;;;
21090885;1;121;Liwei;20190227;5;120,6;;;
12041663;2;122;Liwei;20190227;5;105,8;;;
12040384;3;123;Liwei;20190227;5;127,4;;;
12042584;4;124;Liwei;20190227;5;101,2;;;
75010051;5;125;Liwei;20190227;5;127,1;;;
12041753;6;126;Liwei;20190227;5;111,3;;;
12040612;7;127;Liwei;20190227;5;101,5;;;
21090093;8;128;Liwei;20190227;5;100,2;;;
75010075;9;129;Liwei;20190227;5;105,7;;;
12042596;10;130;Liwei;20190227;5;114,6;;;
21090564;11;131;Liwei;20190227;5;115,4;;;
12040063;12;132;Liwei;20190227;5;111,7;;;
21090763;13;133;Liwei;20190227;5;106,9;;;
21090880;14;134;Liwei;20190227;5;115;;;
12041907;15;135;Liwei;20190227;5;97,9;;;
12042615;16;136;Liwei;20190227;5;100,4;;;
12040485;17;137;Liwei;20190227;5;109,7;;;
12041252;18;138;Liwei;20190227;5;109,3;;;
21090586;19;139;Liwei;20190227;5;107,2;;;
12041993;20;140;Liwei;20190227;5;102,6;;;
12040634;21;141;Liwei;20190227;5;110,6;;;
21090939;22;142;Liwei;20190227;5;117,1;;;
21090078;23;143;Liwei;20190227;5;95,6;;;
12040474;24;144;Liwei;20190227;5;103,3;;;
71010042;25;145;Liwei;20190227;5;119,2;;;
12041013;26;146;Liwei;20190227;5;117,3;;;
12041895;27;147;Liwei;20190227;5;120,3;;;
12041058;28;148;Liwei;20190227;5;119,1;;;
12042315;29;149;Liwei;20190227;5;110,3;;;
12041292;30;150;Liwei;20190227;5;101,7;;;
Ctrl_plt5;Control;Ctrl_plt5;Liwei;20190227;5;66,7;;;
12040898;1;151;Liwei;20190228;6;115,8;1;;
12042203;2;152;Liwei;20190228;6;121,2;3;;
12042211;3;153;Liwei;20190228;6;114,2;3;;
12041401;4;154;Liwei;20190228;6;101,4;5;;
21090168;5;155;Liwei;20190228;6;95,4;3;;
12040989;6;156;Liwei;20190228;6;119,2;3;;
12041574;7;157;Liwei;20190228;6;117,2;5;;
12041055;8;158;Liwei;20190228;6;105,5;4;;
12040575;9;159;Liwei;20190228;6;109,3;3;;
12040583;10;160;Liwei;20190228;6;105,6;3;;
12042316;11;161;Liwei;20190228;6;116,7;3;;
12041270;12;162;Liwei;20190228;6;101,8;2;;
12040783;13;163;Liwei;20190228;6;112;3;;
12041584;14;164;Liwei;20190228;6;120;1;;
12041237;15;165;Liwei;20190228;6;111,4;2;;
21090022;16;166;Liwei;20190228;6;98;4;;
12042240;17;167;Liwei;20190228;6;112,3;3;;
12040789;18;168;Liwei;20190228;6;114,1;1;;
21090068;19;169;Liwei;20190228;6;109,8;1;;
12040586;20;170;Liwei;20190228;6;119,4;5;;
12041289;21;171;Liwei;20190228;6;105,4;3;;
12042341;22;172;Liwei;20190228;6;107,4;4;;
12041317;23;173;Liwei;20190228;6;95,6;2;;
12040288;24;174;Liwei;20190228;6;113;1;;
12041990;25;175;Liwei;20190228;6;115,4;4;;
12041505;26;176;Liwei;20190228;6;117,9;1;;
12041693;27;177;Liwei;20190228;6;109,8;3;;
21090870;28;178;Liwei;20190228;6;119,9;3;;
12042335;29;179;Liwei;20190228;6;104,9;3;;
12041458;30;180;Liwei;20190228;6;111,6;4;;
Ctrl_plt6;Control;Ctrl_plt6;Liwei;20190228;6;66,7;NA;;
12041120;1;181;Liwei;20190228;7;111,8;2;;
21090358;2;182;Liwei;20190228;7;111,8;4;;
12040574;3;183;Liwei;20190228;7;109,2;2;;
21090656;4;184;Liwei;20190228;7;96,4;3;;
12041734;5;185;Liwei;20190228;7;101,9;3;;
12042435;6;186;Liwei;20190228;7;103,3;5;;
75010020;7;187;Liwei;20190228;7;104,6;2;;
12041941;8;188;Liwei;20190228;7;104,7;4;;
12040186;9;189;Liwei;20190228;7;NA;NA;;
21090640;10;190;Liwei;20190228;7;96,1;4;;
12040513;11;191;Liwei;20190228;7;93,3;5;;
12040506;12;192;Liwei;20190228;7;113,3;1;;
12042541;13;193;Liwei;20190228;7;104;3;;
12042326;14;194;Liwei;20190228;7;96,1;5;;
12041088;15;195;Liwei;20190228;7;90,8;3;;
12040751;16;196;Liwei;20190228;7;106,2;4;;
12042457;17;197;Liwei;20190228;7;103,7;3;;
12041521;18;198;Liwei;20190228;7;120,7;1;;
12041333;19;199;Liwei;20190228;7;118,8;4;;
21090396;20;200;Liwei;20190228;7;120;4;;
12041583;21;201;Liwei;20190228;7;111,1;4;;
12042145;22;202;Liwei;20190228;7;119,4;1;;
12041344;23;203;Liwei;20190228;7;99,6;2;;
12040539;24;204;Liwei;20190228;7;107,6;5;;
12041815;25;205;Liwei;20190228;7;108,6;2;;
21090438;26;206;Liwei;20190228;7;110,9;2;;
12040405;27;207;Liwei;20190228;7;102,8;3;;
12041466;28;208;Liwei;20190228;7;NA;NA;;
21090074;29;209;Liwei;20190228;7;91,9;4;;
12041319;30;210;Liwei;20190228;7;92,5;4;;
Ctrl_plt7;Control;Ctrl_plt7;Liwei;20190228;7;66,7;NA;;
12041012;1;211;Sandra;20190301;8;103,1;3;;
21090294;2;212;Sandra;20190301;8;111,6;4;;
12041748;3;213;Sandra;20190301;8;106,8;4;;
71010013;4;214;Sandra;20190301;8;103,8;1;;
12042460;5;215;Sandra;20190301;8;104,3;1;;
12041697;6;216;Sandra;20190301;8;118,6;5;;
12041095;7;217;Sandra;20190301;8;59,1;1;;
12042573;8;218;Sandra;20190301;8;105,7;4;;
21090631;9;219;Sandra;20190301;8;98,8;1;;
12040412;10;220;Sandra;20190301;8;114,1;2;;
21090900;11;221;Sandra;20190301;8;108,8;2;;
12042632;12;222;Sandra;20190301;8;99,8;3;;
12041702;13;223;Sandra;20190301;8;87,8;2;;
21090624;14;224;Sandra;20190301;8;98,2;2;;
12041943;15;225;Sandra;20190301;8;121,9;2;;
12041595;16;226;Sandra;20190301;8;93,1;5;;
12040566;17;227;Sandra;20190301;8;111,7;2;;
12041891;18;228;Sandra;20190301;8;115,9;3;;
21090547;19;229;Sandra;20190301;8;105,3;1;;
12040495;20;230;Sandra;20190301;8;89,9;5;;
12042224;21;231;Sandra;20190301;8;88,8;2;;
12040096;22;232;Sandra;20190301;8;NA;NA;;
71010014;23;233;Sandra;20190301;8;116;1;;
12040680;24;234;Sandra;20190301;8;104,2;1;;
12041852;25;235;Sandra;20190301;8;119;2;;
12041910;26;236;Sandra;20190301;8;114,3;4;;
12041994;27;237;Sandra;20190301;8;112,5;5;;
12041865;28;238;Sandra;20190301;8;88,8;3;;
12040295;29;239;Sandra;20190301;8;100,2;3;;
12041303;30;240;Sandra;20190301;8;106;2;;
Ctrl_plt8;Control;Ctrl_plt8;Sandra;20190301;8;66,7;NA;;
12040924;1;241;Sandra;20190305;9;109,7;;;
12040156;2;242;Sandra;20190305;9;109,6;;;
12040678;3;243;Sandra;20190305;9;97,5;;;
12041752;4;244;Sandra;20190305;9;114,1;;;
12041590;5;245;Sandra;20190305;9;117,1;;;
21090613;6;246;Sandra;20190305;9;112,2;;;
12042449;7;247;Sandra;20190305;9;97,2;;;
12041950;8;248;Sandra;20190305;9;104,4;;;
21090878;9;249;Sandra;20190305;9;109,6;;;
12041422;10;250;Sandra;20190305;9;115,5;;;
12041093;11;251;Sandra;20190305;9;112,3;;;
12041890;12;252;Sandra;20190305;9;108,1;;;
12041456;13;253;Sandra;20190305;9;120,3;;;
12041754;14;254;Sandra;20190305;9;118,3;;;
12041451;15;255;Sandra;20190305;9;NA;;;
12040995;16;256;Sandra;20190305;9;NA;;;
12041302;17;257;Sandra;20190305;9;95,6;;;
12041414;18;258;Sandra;20190305;9;97,5;;;
12041151;19;259;Sandra;20190305;9;117,6;;;
12040170;20;260;Sandra;20190305;9;110,6;;;
12041678;21;261;Sandra;20190305;9;102,6;;;
12042386;22;262;Sandra;20190305;9;99,5;;;
12040913;23;263;Sandra;20190305;9;91,5;;;
12042400;24;264;Sandra;20190305;9;94,2;;;
12041240;25;265;Sandra;20190305;9;119,6;;;
12041078;26;266;Sandra;20190305;9;97,1;;;
12042629;27;267;Sandra;20190305;9;98,9;;;
12040561;28;268;Sandra;20190305;9;105,5;;;
71010015;29;269;Sandra;20190305;9;112,1;;;
12042585;30;270;Sandra;20190305;9;107;;;
Ctrl_plt9;Control;Ctrl_plt9;Sandra;20190305;9;66,7;;;
12042448;1;271;Sandra;20190305;10;91,4;;;
12041970;2;272;Sandra;20190305;10;101,5;;;
12041760;3;273;Sandra;20190305;10;99,1;;;
21090275;4;274;Sandra;20190305;10;118,1;;;
12040775;5;275;Sandra;20190305;10;126,3;;;
12042617;6;276;Sandra;20190305;10;118,3;;;
12040549;7;277;Sandra;20190305;10;114,1;;;
21090032;8;278;Sandra;20190305;10;113,9;;;
21090171;9;279;Sandra;20190305;10;119,9;;;
12040080;10;280;Sandra;20190305;10;104,9;;;
12042594;11;281;Sandra;20190305;10;115,5;;;
12040468;12;282;Sandra;20190305;10;97,5;;;
12042377;13;283;Sandra;20190305;10;99,7;;;
21090645;14;284;Sandra;20190305;10;124,7;;;
12041535;15;285;Sandra;20190305;10;113,5;;;
21090024;16;286;Sandra;20190305;10;111,4;;;
12040905;17;287;Sandra;20190305;10;115,8;;;
12041447;18;288;Sandra;20190305;10;68,4;;;
21090886;19;289;Sandra;20190305;10;122,9;;;
12042582;20;290;Sandra;20190305;10;123,4;;;
12040654;21;291;Sandra;20190305;10;118,9;;;
21090025;22;292;Sandra;20190305;10;106,1;;;
12041248;23;293;Sandra;20190305;10;112,9;;;
12042311;24;294;Sandra;20190305;10;110,2;;;
12041411;25;295;Sandra;20190305;10;101;;;
12042492;26;296;Sandra;20190305;10;121,9;;;
12041881;27;297;Sandra;20190305;10;115,8;;;
12040456;28;298;Sandra;20190305;10;115,7;;;
12042546;29;299;Sandra;20190305;10;123,3;;;
12040440;30;300;Sandra;20190305;10;103,5;;;
Ctrl_plt10;Control;Ctrl_plt10;Sandra;20190305;10;66,7;;;
12041982;1;301;Liwei;20190305;11;109,7;;;
12041354;2;302;Liwei;20190305;11;123,1;;;
12042258;3;303;Liwei;20190305;11;116,3;;;
12040595;4;304;Liwei;20190305;11;112;;;
21090916;5;305;Liwei;20190305;11;101,4;;;
12040348;6;306;Liwei;20190305;11;112,2;;;
71010053;7;307;Liwei;20190305;11;119,3;;;
12041762;8;308;Liwei;20190305;11;113;;;
21090354;9;309;Liwei;20190305;11;106,3;;;
12040102;10;310;Liwei;20190305;11;120,7;;;
12042464;11;311;Liwei;20190305;11;122,2;;;
12040662;12;312;Liwei;20190305;11;104,2;;;
12041897;13;313;Liwei;20190305;11;109,6;;;
75010058;14;314;Liwei;20190305;11;NA;;;
12040748;15;315;Liwei;20190305;11;108,2;;;
12040892;16;316;Liwei;20190305;11;108,4;;;
12040768;17;317;Liwei;20190305;11;116,7;;;
12041184;18;318;Liwei;20190305;11;124,7;;;
12041345;19;319;Liwei;20190305;11;98,6;;;
12040124;20;320;Liwei;20190305;11;102,4;;;
12041978;21;321;Liwei;20190305;11;115,3;;;
12040796;22;322;Liwei;20190305;11;NA;;;
12041282;23;323;Liwei;20190305;11;105,4;;;
21090899;24;324;Liwei;20190305;11;51,4;;;
12042220;25;325;Liwei;20190305;11;109,8;;;
12042597;26;326;Liwei;20190305;11;108,4;;;
12041459;27;327;Liwei;20190305;11;112,8;;;
12040636;28;328;Liwei;20190305;11;92;;;
12041357;29;329;Liwei;20190305;11;104,9;;;
12041926;30;330;Liwei;20190305;11;101,5;;;
Ctrl_plt11;Control;Ctrl_plt11;Liwei;20190305;11;66,7;;;
12040564;1;331;Liwei;20190305;12;99,2;;;
12040254;2;332;Liwei;20190305;12;117,6;;;
12042463;3;333;Liwei;20190305;12;100,1;;;
12040672;4;334;Liwei;20190305;12;93,3;;;
12042439;5;335;Liwei;20190305;12;122,3;;;
12040251;6;336;Liwei;20190305;12;117,3;;;
12040077;7;337;Liwei;20190305;12;110,3;;;
12040351;8;338;Liwei;20190305;12;111;;;
12040188;9;339;Liwei;20190305;12;NA;;;
21090621;10;340;Liwei;20190305;12;100,7;;;
12040153;11;341;Liwei;20190305;12;94,5;;;
21090896;12;342;Liwei;20190305;12;96,7;;;
12040366;13;343;Liwei;20190305;12;91,2;;;
12042486;14;344;Liwei;20190305;12;125,6;;;
12041269;15;345;Liwei;20190305;12;114,2;;;
12040312;16;346;Liwei;20190305;12;99,3;;;
21090360;17;347;Liwei;20190305;12;101;;;
12041371;18;348;Liwei;20190305;12;94,4;;;
12041304;19;349;Liwei;20190305;12;124,2;;;
21090085;20;350;Liwei;20190305;12;101,4;;;
12041708;21;351;Liwei;20190305;12;115,2;;;
21090575;22;352;Liwei;20190305;12;119,7;;;
12040503;23;353;Liwei;20190305;12;88,7;;;
12041525;24;354;Liwei;20190305;12;98,6;;;
12041843;25;355;Liwei;20190305;12;126,7;;;
12041415;26;356;Liwei;20190305;12;89,3;;;
12040657;27;357;Liwei;20190305;12;101,2;;;
12041844;28;358;Liwei;20190305;12;NA;;;
12040839;29;359;Liwei;20190305;12;NA;;;
12040620;30;360;Liwei;20190305;12;122,3;;;
Ctrl_plt12;Control;Ctrl_plt12;Liwei;20190305;12;66,7;;;
12041954;1;361;;;13;89,2;;;
12040505;2;362;;;13;108,3;;;
12041620;3;363;;;13;108,3;;;
21090300;4;364;;;13;95,6;;;
75010019;5;365;;;13;90,1;;;
12041879;6;366;;;13;127,3;;;
12041712;7;367;;;13;104,7;;;
12040175;8;368;;;13;109,1;;;
12041113;9;369;;;13;125,3;;;
12041729;10;370;;;13;90,9;;;
21090062;11;371;;;13;88,8;;;
12041938;12;372;;;13;121,4;;;
21090947;13;373;;;13;90,7;;;
12040448;14;374;;;13;118,2;;;
12042114;15;375;;;13;125;;;
21090158;16;376;;;13;97,1;;;
12041395;17;377;;;13;110,8;;;
12041132;18;378;;;13;87;;;
21090941;19;379;;;13;94,5;;;
12040528;20;380;;;13;93,2;;;
12040058;21;381;;;13;115,2;;;
12041793;22;382;;;13;105,1;;;
71010068;23;383;;;13;107,7;;;
21090625;24;384;;;13;96,3;;;
12042369;25;385;;;13;119,1;;;
12042506;26;386;;;13;113,3;;;
12042572;27;387;;;13;105,5;;;
12041206;28;388;;;13;108,1;;;
12042442;29;389;;;13;98,3;;;
75010033;30;390;;;13;114;;;
Ctrl_plt13;Control;Ctrl_plt13;;;13;66,7;;;
12040054;1;391;;;14;128;;;
12041660;2;392;;;14;116,5;;;
12041046;3;393;;;14;116,3;;;
21090364;4;394;;;14;112,7;;;
12041251;5;395;;;14;104,9;;;
21090871;6;396;;;14;114,3;;;
12041809;7;397;;;14;118,1;;;
12042570;8;398;;;14;105,9;;;
12040619;9;399;;;14;98,9;;;
12041288;10;400;;;14;118,4;;;
12041359;11;401;;;14;98,8;;;
12042426;12;402;;;14;95,9;;;
12040065;13;403;;;14;90,3;;;
12042601;14;404;;;14;91,5;;;
12042568;15;405;;;14;88,9;;;
12042436;16;406;;;14;88,6;;;
21090612;17;407;;;14;86,6;;;
12040815;18;408;;;14;91,7;;;
12041791;19;409;;;14;114,5;;;
12040649;20;410;;;14;107,9;;;
12042382;21;411;;;14;102,8;;;
12040137;22;412;;;14;NA;;;
12041856;23;413;;;14;97,8;;;
12041833;24;414;;;14;103,6;;;
12041328;25;415;;;14;103,7;;;
21090072;26;416;;;14;93,9;;;
21090199;27;417;;;14;84,4;;;
12041062;28;418;;;14;109,5;;;
12041964;29;419;;;14;107,3;;;
12041295;30;420;;;14;121,9;;;
Ctrl_plt14;Control;Ctrl_plt14;;;14;66,7;;;
12040791;1;421;;;15;102,9;;;
12040969;2;422;;;15;121,9;;;
12041848;3;423;;;15;89,7;;;
12041453;4;424;;;15;119,2;;;
12041901;5;425;;;15;105,4;;;
21090177;6;426;;;15;121,9;;;
12040454;7;427;;;15;91,5;;;
12040452;8;428;;;15;103,1;;;
12040567;9;429;;;15;115,6;;;
12040667;10;430;;;15;110,1;;;
12041394;11;431;;;15;111,4;;;
12042628;12;432;;;15;92,1;;;
12041917;13;433;;;15;106,3;;4;
75010044;14;434;;;15;98,3;;4;
12041318;15;435;;;15;102,8;;4;
21090194;16;436;;;15;108,3;;4;
12040389;17;437;;;15;126,8;;4;
21090382;18;438;;;15;114;;5;
12040322;19;439;;;15;127,9;;4;
12041820;20;440;;;15;117,4;;4;
12041181;21;441;;;15;118,2;;4;
12040626;22;442;;;15;100,9;;4;
12041873;23;443;;;15;105,8;;3;
12041369;24;444;;;15;102,8;;4;
12041681;25;445;;;15;97,1;;4;
21090851;26;446;;;15;98,8;;4;
12041749;27;447;;;15;93,1;;3;
12040466;28;448;;;15;93,1;;5;
12040617;29;449;;;15;127;;4;
12041858;30;450;;;15;96,5;;4;
Ctrl_plt15;Control;Ctrl_plt15;;;15;66,7;;NA;
12041170;1;451;;;16;121,9;;3;
21090385;2;452;;;16;127,2;;3;
12040352;3;453;;;16;119,8;;3;
12042612;4;454;;;16;123,9;;5;
12041557;5;455;;;16;106,3;;4;
12041275;6;456;;;16;108,9;;3;
21090070;7;457;;;16;102,7;;3;
12040784;8;458;;;16;NA;;NA;
12041315;9;459;;;16;118,9;;4;
12042334;10;460;;;16;120,5;;3;
12041297;11;461;;;16;111,6;;5;
12041423;12;462;;;16;107,9;;3;
12042380;13;463;;;16;111,2;;3;
12041913;14;464;;;16;99,1;;5;
12042333;15;465;;;16;110,8;;4;
21090098;16;466;;;16;82,4;;2;
12042593;17;467;;;16;96,9;;1;
12040753;18;468;;;16;93,9;;5;
12040272;19;469;;;16;108,8;;3;
12040962;20;470;;;16;126,9;;3;
12041158;21;471;;;16;116,9;;3;
12042608;22;472;;;16;88,5;;4;
21090272;23;473;;;16;89,8;;4;
12041427;24;474;;;16;104;;4;
12041346;25;475;;;16;115,6;;4;
12040362;26;476;;;16;108,8;;4;
12041218;27;477;;;16;106,7;;4;
12040951;28;478;;;16;93,2;;4;
21090155;29;479;;;16;90,1;;3;
75010013;30;480;;;16;91,4;;3;
Ctrl_plt16;Control;Ctrl_plt16;;;16;66,7;;NA;
21090737;1;481;;;17;85,8;;4;
12041603;2;482;;;17;96,7;;4;
12042139;3;483;;;17;120,6;;3;
12041510;4;484;;;17;125,7;;4;
12041779;5;485;;;17;88,8;;4;
12042509;6;486;;;17;86;;4;
21090908;7;487;;;17;126,6;;5;
12041434;8;488;;;17;92,7;;5;
12040531;9;489;;;17;100,3;;5;
12042396;10;490;;;17;126,3;;5;
12041781;11;491;;;17;122,3;;4;
12040562;12;492;;;17;117,8;;4;
12042399;13;493;;;17;85,4;;4;
12041600;14;494;;;17;98,7;;3;
12042549;15;495;;;17;118,5;;4;
12040519;16;496;;;17;95,2;;3;
12041436;17;497;;;17;111,3;;3;
12041437;18;498;;;17;110,1;;4;
12041342;19;499;;;17;84;;3;
12041347;20;500;;;17;106,3;;4;
12040611;21;501;;;17;122,4;;5;
71010017;22;502;;;17;107,3;;4;
12040453;23;503;;;17;125;;5;
12040570;24;504;;;17;116,4;;3;
12041965;25;505;;;17;114,9;;5;
12042321;26;506;;;17;100,7;;4;
12041507;27;507;;;17;109;;3;
12040476;28;508;;;17;119;;4;
12040600;29;509;;;17;119,4;;4;
12042206;30;510;;;17;102,8;;3;
Ctrl_plt17;Control;Ctrl_plt17;;;17;66,7;;NA;
12041117;1;511;;;18;115;;4;
12041857;2;512;;;18;98,8;;4;
12042376;3;513;;;18;112,8;;5;
12040999;4;514;;;18;113,9;;3;
12042201;5;515;;;18;111,4;;3;
12041658;6;516;;;18;97;;3;
12042342;7;517;;;18;115,4;;2;
12042136;8;518;;;18;114,4;;5;
12042619;9;519;;;18;109,3;;5;
71010020;10;520;;;18;115,5;;4;
12040510;11;521;;;18;108,3;;5;
12041430;12;522;;;18;111,7;;3;
21090372;13;523;;;18;101,9;;3;
12042540;14;524;;;18;125,9;;3;
12040404;15;525;;;18;129;;3;
12041977;16;526;;;18;105,6;;2;
12041991;17;527;;;18;117;;3;
12040094;18;528;;;18;127;;3;
75010035;19;529;;;18;108,5;;3;
21090616;20;530;;;18;115,2;;3;
21090721;21;531;;;18;104,3;;2;
12041279;22;532;;;18;113,4;;3;
12041711;23;533;;;18;114,5;;3;
12041277;24;534;;;18;98,4;;4;
21090905;25;535;;;18;NA;;NA;
12040653;26;536;;;18;113,2;;4;
12041821;27;537;;;18;119,4;;3;
12040057;28;538;;;18;128,4;;4;
21090589;29;539;;;18;120,6;;5;
12040083;30;540;;;18;127,8;;5;
Ctrl_plt18;Control;Ctrl_plt18;;;18;66,7;;NA;
21090075;1;541;;;19;102,8;;5;
21090291;2;542;;;19;113,7;;3;
12041792;3;543;;;19;128,2;;3;
12041776;4;544;;;19;109,5;;4;
21090553;5;545;;;19;115,6;;5;
12042128;6;546;;;19;117,9;;4;
12041094;7;547;;;19;103,5;;3;
21090188;8;548;;;19;116,7;;4;
12041906;9;549;;;19;95,4;;4;
21090836;10;550;;;19;128,1;;4;
12040530;11;551;;;19;102,9;;4;
12040323;12;552;;;19;104,4;;4;
12042365;13;553;;;19;96,6;;3;
12041416;14;554;;;19;115,2;;3;
12042433;15;555;;;19;90,6;;3;
