"";"ID";"ID_On_Plate";"Random_ID";"Experimentor";"Testing_Date";"Plate";"Weight_mg";"Colour";"Flow_Date";"Cells_per_g_feces_FR_mean";"Cells_per_g_feces_FR_sd";"Cells_per_g_feces_mean";"Cells_per_g_feces_sd";"Cells_per_g_feces_r1";"Cells_per_g_feces_r2";"Cells_per_g_feces_r3";"Cells_per_g_feces_FR_r1";"Cells_per_g_feces_FR_r2";"Cells_per_g_feces_FR_r3";"RunTime_sec_r1";"RunTime_sec_r2";"RunTime_sec_r3";"Events_per_sec_r1";"Events_per_sec_r2";"Events_per_sec_r3";"Events_slope_r1";"Events_slope_r2";"Events_slope_r3";"DilFac_Total_r1";"DilFac_Total_r2";"DilFac_Total_r3";"flow_muL_per_sec_from_beads_r1";"flow_muL_per_sec_from_beads_r2";"flow_muL_per_sec_from_beads_r3";"flow_muL_per_sec_from_bead_slopes_r1";"flow_muL_per_sec_from_bead_slopes_r2";"flow_muL_per_sec_from_bead_slopes_r3"
"11";"12041372";"11";"11";"Sandra";"2019-02-21";"1";115,8;NA;"2019-02-22";21628362065,5455;830305077,929536;22815120647,5661;1073138751,40995;22659119169,5502;21828520788,2649;23957721984,8833;20717090921,1375;21825937182,6956;22342058092,8033;16,3740000152588;15,5399997711182;15,0249995040894;6107,24318473256;6435,00652978482;6655,57426293312;6058,3771464626;6421,98046878896;6694,0976246904;2117,64705882353;2117,64705882353;2117,64705882353;0,457146872438396;0,499940820415768;0,466280936620363;0,449578053023413;0,496896756300577;0,487050322567995
"12";"75010048";"12";"12";"Sandra";"2019-02-21";"1";102,4;NA;"2019-02-22";8532144437,81758;111655993,453585;9473462592,21163;360673734,129786;9242973116,39549;9288305110,34656;9889109549,89283;8542940162,6134;8415482699,34703;8638010451,4923;44,7810009765625;45,4229999923706;44,2699980545044;2233,08987783319;2201,52786070485;2258,86614851173;2236,33512136688;2211,04364860556;2268,82201212267;2117,64705882353;2117,64705882353;2117,64705882353;0,462131613661174;0,453014979555998;0,436743591923598;0,469595638829872;0,45983347312837;0,437391289090121
"13";"12042559";"13";"13";"Sandra";"2019-02-21";"1";105,1;NA;"2019-02-22";8761596972,01633;177171695,354988;9387600562,3862;259964853,118139;9097972809,61007;9464087661,64317;9600741215,90536;8609784206,86964;8718741100,95308;8956265608,22629;38,2769995117187;38,5549995040894;37,5499990081787;2612,53497598171;2593,69734888451;2663,11591588109;2605,29316056338;2586,86701868358;2649,38273311985;2117,64705882353;2117,64705882353;2117,64705882353;0,47317047363426;0,460622376538687;0,466436153564301;0,464184347092477;0,468486783969796;0,45888940311742
"14";"12041969";"14";"14";"Sandra";"2019-02-21";"1";116,5;NA;"2019-02-22";18876709900,0149;130567635,035016;19575977331,5496;1261656833,44624;18150260135,9269;20548211764,7059;20029460094,016;18726659094,4151;18939028055,9538;18964442549,6758;19,0429997634888;19,10899974823;19,1390002441406;5251,27349902773;5233,13628748479;5224,93331544916;5256,85616334917;5239,37846233042;5238,18825822589;2117,64705882353;2117,64705882353;2117,64705882353;0,51587853160703;0,46084370437733;0,473413723102341;0,515169062841821;0,469510505672975;0,456767176845692
"15";"12041079";"15";"15";"Sandra";"2019-02-21";"1";118,8;NA;"2019-02-22";17659620936,2678;332895150,643448;16586057696,7594;294224070,446259;16247163261,0939;16734751005,655;16776258823,5294;17288412664,1438;17758781475,9679;17931668668,6916;18,8690000152588;18,6070000076294;18,4549997711182;5299,69791293301;5374,32148970802;5418,58581632164;5303,2743761426;5366,9064286928;5430,67694887784;2117,64705882353;2117,64705882353;2117,64705882353;0,532044037051788;0,530595927897788;0,534435861335833;0,537135502043544;0,549569001299176;0,518375879639799
"16";"21090592";"16";"16";"Sandra";"2019-02-21";"1";119;NA;"2019-02-22";16474675103,89;337230508,749714;16887662050,0517;2081644201,54171;15392792060,764;16004984972,4265;19265209116,9646;16192307876,1454;16383639042,5548;16848078392,9698;19,73799949646;19,5759999847412;19,2890002441406;5066,3695689087;5108,29587647867;5184,30186812698;5047,56121792141;5127,14315582134;5189,05449529285;2117,64705882353;2117,64705882353;2117,64705882353;0,525970461116647;0,511829254159898;0,437266948172745;0,52988553699503;0,524105655871931;0,445865191812789
"17";"12040073";"17";"17";"Sandra";"2019-02-21";"1";118,4;NA;"2019-02-22";19115062871,0266;303643715,859408;19141366760,9123;172756152,460621;18946447058,8235;19275561071,4766;19202092152,4366;18764587210,034;19298938668,2841;19281662734,7616;17,30899974823;17,0829997634888;17,2670000076294;5777,34135158365;5853,77283758608;5791,39398597412;5761,16103224257;5856,32150402737;5796,42942611967;2117,64705882353;2117,64705882353;2117,64705882353;0,495200687278598;0,500606405092978;0,502071924811455;0,493976003851696;0,482186830226575;0,49598401714008
"18";"12041601";"18";"18";"Sandra";"2019-02-21";"1";95,7;NA;"2019-02-22";12196684457,9685;231663689,866992;11825409968,0423;740826728,893898;11111306503,8846;11774581295,9559;12590342104,2865;11977184628,6486;12438846358,1101;12174022387,1467;19,2440000152588;18,9689995193481;19,2470002365112;5196,42485557622;5271,75931962048;5195,61483717872;5192,93386132368;5283,5312254211;5185,76215390294;2117,64705882353;2117,64705882353;2117,64705882353;0,5389638304218;0,528207587406201;0,483466703537863;0,536649649299365;0,537982455664372;0,479841254465997
"19";"12041215";"19";"19";"Sandra";"2019-02-21";"1";108,8;NA;"2019-02-22";9767523142,70032;292670478,907945;9501467640,07858;416622845,780376;9044426352,27697;9860024977,10723;9599951590,85155;9430397485,16544;9915696574,76352;9956475368,172;26,5949990081787;26,2509990310669;26,3030004882812;3760,10542317551;3809,37883094104;3801,84762740482;3732,43803837677;3780,3712047707;3784,02241092814;2117,64705882353;2117,64705882353;2117,64705882353;0,521337513174138;0,50282309617803;0,518569040372047;0,527367190991284;0,513019415420047;0,52310617851931
"20";"12040900";"20";"20";"Sandra";"2019-02-21";"1";117,1;NA;"2019-02-22";11506398171,724;220749589,186745;12348824576,7386;1341109491,63552;10919327731,0924;12547841727,7052;13579304271,4181;11296825665,6762;11736842312,1157;11485526537,3801;33,3669995117188;32,5960004806519;33,4559990310669;2996,97310106889;3067,86104201212;2989,00056480576;3015,76572992461;3052,26695522516;2984,56878008568;2117,64705882353;2117,64705882353;2117,64705882353;0,517285768129699;0,467683708752923;0,422905559364886;0,527067459210607;0,468767688423554;0,416876646869722
